Fecha,Percentil equiponderado 71.63,Percentil ponderado 69.56,"Media Truncada Equiponderada (35.29, 93.4)","Media Truncada Ponderada (34.19, 93.0)","Inflación de exclusión dinámica (1.03, 3.42)","Exclusión fija de gastos básicos IPC (9, 6)",MAI óptima ABSME 2018,"MAI (FP,5,[0.28, 0.52, 0.71, 0.84])","MAI (G,5,[0.31, 0.45, 0.72, 0.83])","MAI (F,10,[0.2, 0.23, 0.34, 0.42, 0.52, 0.61, 0.69, 0.75, 0.86])"
01/01/2001,101.53893,101.5499,101.54016,101.49789,101.43987,101.3039,101.43454,101.45445,101.394806,101.53836
01/02/2001,102.58809,102.688034,102.51583,102.47583,102.23263,102.10202,102.44239,102.46982,102.38856,102.57355
01/03/2001,103.301285,103.39328,103.20064,103.206924,102.78159,102.66508,103.20468,103.20167,103.20727,103.221054
01/04/2001,103.80669,103.80252,103.750114,103.63653,103.14401,103.02277,103.75653,103.84454,103.61666,103.78405
01/05/2001,104.28653,104.404976,104.17225,104.2947,103.66441,103.3843,104.27206,104.23417,104.34012,104.14109
01/06/2001,104.97273,105.25221,104.905624,105.06405,104.42368,104.0982,105.030014,104.96489,105.14136,104.88533
01/07/2001,105.62112,105.9887,105.571144,105.88401,105.17507,105.04045,105.8101,105.65491,106.06672,105.60012
01/08/2001,107.01255,107.51752,106.890686,107.3683,106.4189,106.25282,107.2425,106.93973,107.73367,106.97463
01/09/2001,107.85703,108.32656,107.648285,108.07433,107.0597,106.743225,108.05172,107.73899,108.557236,107.796394
01/10/2001,108.79497,109.29873,108.5698,108.92007,107.88833,107.56593,108.99706,108.70532,109.46545,108.790726
01/11/2001,109.61991,110.01725,109.33189,109.57719,108.45488,108.125725,109.76732,109.53478,110.13951,109.601616
01/12/2001,110.37172,110.80563,110.060776,110.38359,109.238396,108.91756,110.54717,110.32255,110.90413,110.41983
01/01/2002,112.6068,112.94233,112.19571,112.348915,110.97245,110.435875,112.53292,112.356514,112.7958,112.63277
01/02/2002,113.91727,114.35177,113.416115,113.75158,112.090836,111.59618,113.89429,113.674034,114.22396,114.00444
01/03/2002,114.66769,114.95339,114.1805,114.44661,112.63118,112.16603,114.70151,114.50477,114.99057,114.86305
01/04/2002,115.33798,115.62739,114.82217,115.03812,113.11587,112.56975,115.35381,115.177345,115.606705,115.55926
01/05/2002,115.780014,115.959595,115.30587,115.43315,113.64296,112.86717,115.83795,115.70508,116.01866,116.10306
01/06/2002,116.28448,116.52454,115.87025,116.025856,114.065025,113.42237,116.4744,116.324585,116.68269,116.72296
01/07/2002,116.78374,117.0236,116.40157,116.59699,114.47415,113.85686,117.0769,116.8936,117.33631,117.33447
01/08/2002,117.23128,117.63536,116.85943,117.15109,115.02206,114.29231,117.586716,117.38427,117.876495,117.82616
01/09/2002,117.66199,118.16958,117.24644,117.57443,115.376465,114.47473,117.94803,117.7364,118.25119,118.19766
01/10/2002,118.17628,118.70549,117.68827,118.016975,115.75515,114.76923,118.36263,118.15863,118.6542,118.608604
01/11/2002,118.665276,119.25649,118.19356,118.63441,116.301956,115.34668,118.9079,118.66443,119.26727,119.07743
