Fecha,Percentil equiponderado 71.63,Percentil ponderado 69.56,"Media Truncada Equiponderada (35.29, 93.4)","Media Truncada Ponderada (34.19, 93.0)","Inflación de exclusión dinámica (1.03, 3.42)","Exclusión fija de gastos básicos IPC (9, 6)",MAI óptima ABSME 2018,"MAI (FP,5,[0.28, 0.52, 0.71, 0.84])","MAI (G,5,[0.31, 0.45, 0.72, 0.83])","MAI (F,10,[0.2, 0.23, 0.34, 0.42, 0.52, 0.61, 0.69, 0.75, 0.86])"
01/12/2001,10.371721,10.805631,10.060776,10.3835945,9.238398,8.917559,10.547174,10.322547,10.904133,10.419834
01/01/2002,10.900116,11.218559,10.493922,10.690891,9.397268,9.01444,10.941426,10.745764,11.244154,10.926318
01/02/2002,11.043369,11.358416,10.632777,11.003327,9.642923,9.298706,11.178858,10.934162,11.559307,11.14409
01/03/2002,11.00316,11.180723,10.639334,10.890436,9.58302,9.254324,11.139833,10.952436,11.417127,11.278701
01/04/2002,11.108435,11.391699,10.671843,11.001515,9.667897,9.266853,11.177404,10.91324,11.571539,11.345875
01/05/2002,11.021066,11.067116,10.687709,10.679781,9.625816,9.172451,11.092056,11.004936,11.192762,11.486303
01/06/2002,10.775888,10.709834,10.451889,10.433447,9.232903,8.957088,10.896329,10.82238,10.976971,11.286259
01/07/2002,10.568547,10.411394,10.258889,10.117662,8.841526,8.393347,10.648157,10.6371765,10.625005,11.112059
01/08/2002,9.549093,9.410418,9.326113,9.111428,8.084238,7.5663805,9.645657,9.766758,9.414721,10.144019
01/09/2002,9.090698,9.08643,8.916211,8.7903385,7.768345,7.243085,9.158883,9.279287,8.929813,9.648991
01/10/2002,8.622921,8.60647,8.398712,8.35191,7.291639,6.6966414,8.592527,8.69627,8.394205,9.024561
01/11/2002,8.251572,8.397997,8.105289,8.265602,7.2353363,6.678295,8.327242,8.334934,8.287454,8.645689
01/12/2002,7.9782844,8.090961,7.8269362,7.955146,6.9523335,6.330526,8.030162,7.9851627,8.081829,8.231688
01/01/2003,7.078457,7.2791576,7.038963,7.358992,6.460047,5.9583545,7.4543796,7.3155403,7.6634526,7.514918
01/02/2003,6.7115664,6.6963434,6.648612,6.8472266,6.108165,5.6069613,7.020788,6.906259,7.1959376,7.035351
01/03/2003,6.4852715,6.70408,6.3940525,6.6976905,6.1253905,5.6686997,6.77452,6.5629363,7.1077466,6.7002416
01/04/2003,6.3859105,6.7691445,6.3022494,6.7271233,6.2153816,5.7582617,6.7902484,6.4860463,7.2763085,6.6061378
01/05/2003,6.4130187,6.986344,6.2744737,6.9298506,6.272185,5.809951,6.834151,6.416571,7.504022,6.5557837
01/06/2003,6.4287305,6.8695307,6.229198,6.840706,6.3205123,5.4721117,6.7542887,6.378758,7.35507,6.5223336
01/07/2003,6.351316,6.737411,6.1826825,6.6482067,6.4085364,5.490172,6.5150356,6.198859,7.0226192,6.29586
01/08/2003,6.2502623,6.491816,6.074333,6.494808,6.2317967,5.4237485,6.3495064,6.031382,6.858182,6.1545253
01/09/2003,6.1982036,6.3046813,6.0655713,6.4607143,6.20327,5.6908846,6.3673544,6.0832143,6.819606,6.216836
01/10/2003,6.062019,6.1900973,5.980158,6.462276,6.2338114,5.8243394,6.308127,5.9649944,6.8558693,6.1106324
01/11/2003,5.9036374,5.9692383,5.818403,6.371808,6.268835,5.7792187,6.1621037,5.7985187,6.737244,6.018734
01/12/2003,5.826676,5.9670687,5.7991743,6.488621,6.3103557,5.89422,6.231699,5.8323503,6.8609834,6.1055183
01/01/2004,5.9332967,6.436181,5.84383,6.769812,6.713271,6.456077,6.35405,5.921352,7.04509,6.1054945
01/02/2004,5.7906866,6.649339,5.779958,6.956327,6.9708943,6.5487146,6.330466,5.8321953,7.125902,6.050968
01/03/2004,5.815065,6.681323,5.8364034,7.068503,7.191205,6.752503,6.3766727,5.943525,7.067287,6.1418414
01/04/2004,5.6899905,6.358993,5.7642817,6.93537,7.0457816,6.720519,6.1955647,5.8288574,6.775999,6.046653
01/05/2004,5.793953,6.574106,5.893743,7.1592093,7.271576,7.030046,6.368951,5.9656262,7.0130467,6.1364174
01/06/2004,5.8487535,7.0684195,5.9220314,7.376492,7.424009,7.3032618,6.479185,5.973828,7.292354,6.11676
01/07/2004,5.848682,7.121873,5.872977,7.420981,7.361841,7.3524117,6.523822,6.0019016,7.3673725,6.104219
01/08/2004,6.081581,7.374418,6.112027,7.6774597,7.666421,7.6098084,6.802957,6.2695622,7.6658726,6.3637137
01/09/2004,6.278193,7.6720595,6.412947,8.037138,8.155918,7.931757,7.1534047,6.542897,8.141815,6.6432953
01/10/2004,6.53708,7.8666925,6.7931056,8.352447,8.485949,8.308924,7.4973836,6.9409966,8.389926,7.1309805
01/11/2004,6.9693804,8.388269,7.1964264,8.675909,8.614945,8.656263,7.9374876,7.3985934,8.802975,7.5683594
01/12/2004,7.110846,8.538198,7.351601,8.711934,8.66704,8.783806,8.076739,7.5567603,8.914364,7.6885343
01/01/2005,7.4225903,8.525991,7.68162,8.7133045,8.46225,8.520412,8.287075,7.8933477,8.913541,8.082592
01/02/2005,7.565987,8.23102,7.809007,8.504891,8.173,8.572233,8.310601,8.018101,8.770323,8.222413
01/03/2005,7.5868487,8.173084,7.7852607,8.478999,7.942176,8.269715,8.263155,7.943547,8.767664,8.142269
01/04/2005,7.6117992,8.31368,7.7577114,8.615017,8.028293,8.378542,8.247797,7.88846,8.81778,8.080912
01/05/2005,7.697737,8.3536625,7.780087,8.477127,7.92377,8.442426,8.210191,7.9419017,8.631575,8.131146
01/06/2005,7.6527834,8.083904,7.756555,8.46678,7.94909,8.725476,8.19727,7.9482913,8.58922,8.111345
01/07/2005,7.7397227,8.233368,7.8279495,8.726633,8.161879,9.026742,8.378705,8.033979,8.922493,8.254361
01/08/2005,7.5074196,8.037531,7.614565,8.56967,7.969606,8.841968,8.174699,7.8146935,8.744001,8.029127
01/09/2005,7.436824,8.035684,7.5060964,8.584463,7.764113,8.908903,8.091022,7.7035546,8.705605,7.9135537
01/10/2005,7.578969,8.549511,7.8418016,9.208584,8.6021185,9.64036,8.629796,7.9829097,9.670984,8.161473
