Fecha,Percentil equiponderado 77.25,Percentil ponderado 80.96,"Media Truncada Equiponderada (55.91, 92.18)","Media Truncada Ponderada (46.44, 98.55)","Inflación de exclusión dinámica (0.47, 4.97)","Exclusión fija de gastos básicos IPC (12, 52)",MAI óptima CORR 2018,"MAI (G,3,[0.32, 0.77])","MAI (FP,5,[0.34, 0.66, 0.78, 0.86])","MAI (F,5,[0.32, 0.66, 0.78, 0.87])"
01/01/2001,101.83186,101.95488,101.921524,102.368256,101.88657,101.419556,101.39396,101.13534,101.322685,101.45202
01/02/2001,103.09177,103.29272,103.18557,103.72432,102.858315,102.25839,102.35095,101.99526,102.2771,102.41198
01/03/2001,104.09051,104.50691,104.11978,104.82428,103.592834,102.866264,103.08435,102.705505,102.986084,103.16458
01/04/2001,104.8563,105.21312,104.85831,105.63844,104.076935,103.26281,103.68484,103.01905,103.60036,103.75728
01/05/2001,105.41458,106.41963,105.4276,106.61771,104.8136,103.6012,104.09806,103.57096,104.01279,104.16964
01/06/2001,106.36184,107.523384,106.394,107.90108,105.685295,104.24672,104.80829,104.35188,104.698456,104.89822
01/07/2001,107.14646,108.7026,107.241104,109.28212,106.52774,104.9515,105.45689,105.02894,105.31386,105.57234
01/08/2001,108.95012,110.80251,108.86954,111.35812,107.9017,106.148285,106.63845,106.25642,106.468285,106.77452
01/09/2001,109.90996,111.98474,109.824326,112.38225,108.58071,106.69837,107.34181,107.02,107.182556,107.4687
01/10/2001,110.97017,113.23956,110.95199,113.78236,109.55075,107.55994,108.15721,107.78102,108.003716,108.28011
01/11/2001,112.042725,114.271904,111.97118,114.85877,110.194756,108.11223,108.93268,108.41111,108.75355,109.07704
01/12/2001,113.08252,115.42726,112.93476,116.224205,111.020645,109.00427,109.671555,109.101204,109.48216,109.82429
01/01/2002,115.88402,118.59451,115.747314,119.21536,113.50565,110.78478,111.59045,110.708015,111.3336,111.79898
01/02/2002,117.50661,120.80788,117.355034,121.2845,114.8184,112.07469,112.82408,112.01715,112.5578,113.039116
01/03/2002,118.54339,122.095436,118.35575,122.52983,115.67586,112.66772,113.56147,112.72908,113.29199,113.77926
01/04/2002,119.40381,123.137535,119.18488,123.579384,116.267365,112.98944,114.147934,113.33116,113.88534,114.360115
01/05/2002,120.03237,123.903114,119.83714,124.470795,116.8477,113.1384,114.62521,113.72532,114.366425,114.83526
01/06/2002,120.804695,124.96734,120.612015,125.3971,117.525604,113.59879,115.21555,114.40274,114.9487,115.43102
01/07/2002,121.444305,126.17691,121.30957,126.33796,118.11322,113.99727,115.7257,114.98731,115.46365,115.93666
01/08/2002,122.07243,127.115105,121.93201,127.277985,118.73962,114.43972,116.154785,115.48517,115.90598,116.35468
01/09/2002,122.63081,127.85816,122.474525,128.14316,119.24216,114.70927,116.49528,115.97396,116.2348,116.70268
01/10/2002,123.2869,128.64491,123.092735,129.00156,119.68621,115.04031,116.88872,116.37137,116.614975,117.1064
01/11/2002,123.90801,129.57504,123.78761,130.28975,120.62785,115.60788,117.41043,117.01708,117.11504,117.64367
01/12/2002,124.563324,130.50922,124.45796,131.38649,121.27459,116.16632,117.88646,117.558685,117.59073,118.11915
01/01/2003,126.58935,133.04242,126.37328,134.00145,122.854805,117.45432,119.28591,118.77766,118.955666,119.54742
01/02/2003,127.85491,134.57275,127.566734,135.56897,123.82984,118.30672,120.16021,119.695526,119.83448,120.41768
01/03/2003,128.60092,135.52632,128.26674,136.70047,124.635796,118.8785,120.611664,120.22926,120.27374,120.8778
01/04/2003,129.42416,136.88979,129.05547,137.84093,125.36635,119.43018,121.15918,120.98553,120.82274,121.42188
01/05/2003,130.09491,138.0373,129.71683,138.89114,126.030914,119.960976,121.60138,121.55897,121.26375,121.86356
01/06/2003,130.83241,139.10576,130.48766,139.89067,126.61353,120.318184,122.15358,122.02955,121.817635,122.41535
01/07/2003,131.42279,139.75604,131.16183,140.82503,127.26418,120.79584,122.6257,122.3519,122.20733,122.95344
01/08/2003,131.93724,140.46042,131.65887,141.72455,127.892815,121.23764,122.90957,122.72462,122.48471,123.24144
01/09/2003,132.45522,141.08871,132.2316,142.64346,128.56192,121.607155,123.296135,122.93934,122.87534,123.62658
01/10/2003,132.94186,142.02509,132.75645,143.6282,129.04227,122.106636,123.60046,123.259605,123.17738,123.9325
01/11/2003,133.40358,143.0692,133.25316,144.81516,129.77968,122.682205,123.89943,123.66543,123.475426,124.231094
01/12/2003,134.02538,144.49458,133.92339,146.16312,130.60178,123.41079,124.35361,124.47254,123.93625,124.676254
01/01/2004,136.11179,148.01431,136.01141,149.89621,132.89516,125.399155,125.80665,126.3922,125.357056,126.14955
01/02/2004,137.27998,149.87634,137.15646,152.11009,134.18298,126.405014,126.67304,127.3848,126.213554,127.02229
01/03/2004,138.06564,150.85034,138.00397,153.63539,135.16676,127.28219,127.25339,127.97392,126.800476,127.59744
01/04/2004,138.73003,151.88983,138.73134,154.88712,135.8275,127.70296,127.72253,128.52077,127.265015,128.06929
01/05/2004,139.73363,153.84186,139.67429,156.50621,136.95155,128.47806,128.40884,129.43091,127.944016,128.7589
01/06/2004,140.6426,155.4662,140.5705,157.88458,137.8064,129.00133,129.04143,130.30745,128.56985,129.39429
01/07/2004,141.24963,156.34181,141.23465,158.88794,138.41348,129.66653,129.45255,130.70918,128.96193,129.82036
01/08/2004,142.19174,157.72166,142.1831,160.33255,139.27914,130.48946,130.0991,131.35965,129.61012,130.46559
01/09/2004,143.14476,159.42657,143.23767,162.2357,140.39514,131.3386,130.8206,132.29437,130.32854,131.18718
01/10/2004,144.17157,160.83202,144.41124,164.18132,141.45508,132.15451,131.63898,133.12361,131.16321,131.99266
01/11/2004,145.30971,162.72276,145.5838,166.61296,142.62296,133.10251,132.47296,133.91742,132.00493,132.82095
01/12/2004,146.31696,164.41173,146.59839,168.14842,143.44238,133.94496,133.20706,134.75041,132.73514,133.55692
01/01/2005,148.99883,167.61331,149.48848,171.73094,145.97617,135.74559,135.12672,136.19888,134.61877,135.50958
01/02/2005,150.57144,169.48409,150.97606,173.63138,147.05223,136.83623,136.21063,137.09752,135.66672,136.62344
01/03/2005,151.54651,170.87233,151.88448,175.2018,147.92537,137.43398,136.78601,137.80704,136.23318,137.20444
01/04/2005,152.28302,172.07332,152.62616,176.94337,148.72389,137.97908,137.2595,138.46585,136.69937,137.68163
01/05/2005,153.36227,173.5466,153.67305,178.90419,149.9099,138.71869,137.95966,139.27364,137.39023,138.38782
01/06/2005,154.2295,175.08191,154.58258,180.87088,150.93095,139.6498,138.57822,139.86894,138.01102,139.00494
01/07/2005,155.03812,176.6544,155.44925,182.87697,151.92213,140.46307,139.15294,140.6655,138.5731,139.58719
01/08/2005,155.60286,177.91815,156.11682,184.23059,152.59203,140.96588,139.5647,141.20944,138.97221,140.0075
01/09/2005,156.51521,179.54768,157.12224,186.34598,153.9817,141.83368,140.21211,142.05916,139.60883,140.66115
01/10/2005,157.90425,183.30447,159.01317,190.80794,156.31813,143.49057,141.60446,143.43703,140.78265,142.2246
01/11/2005,159.06845,185.52045,160.30197,193.05586,157.59464,143.78615,142.5805,144.37195,141.75603,143.203
01/12/2005,160.12305,186.99043,161.34149,194.49915,158.46425,144.41208,143.26561,145.07516,142.44586,143.8841
01/01/2006,162.62857,191.382,164.1242,198.1054,160.42422,146.13643,145.16423,146.84314,144.32501,145.79936
