Fecha,Percentil equiponderado 72.0,Percentil ponderado 70.0,"Media Truncada Equiponderada (42.5, 91.0)","Media Truncada Ponderada (52.5, 85.0)","Inflación de exclusión dinámica (0.35, 1.88)","Exclusión fija de gastos básicos IPC (14, 17)",MAI óptima ABSME,"MAI (F,4)","MAI (G,4)","MAI (F,5)","MAI (G,5)","MAI (F,10)","MAI (G,10)","MAI (F,20)","MAI (G,20)","MAI (F,40)","MAI (G,40)"
01/12/2001,10.371721,10.805631,10.060776,10.3835945,9.238398,8.917559,10.547174,11.2424965,11.219681,10.92248,10.781312,10.248327,9.5197315,9.007776,8.282018,8.534824,7.9600573
01/01/2002,10.900116,11.218559,10.493922,10.690891,9.397268,9.01444,10.941426,11.715865,11.522388,11.309444,11.048222,10.485125,9.611583,9.146214,8.182156,8.781433,7.77148
01/02/2002,11.043369,11.358416,10.632777,11.003327,9.642923,9.298706,11.178858,11.85143,11.781084,11.388993,11.325932,10.760891,10.045409,9.165072,8.459532,8.815336,7.985282
01/03/2002,11.00316,11.180723,10.639334,10.890436,9.58302,9.254324,11.139833,11.915958,11.757505,11.556745,11.418629,11.031675,10.129046,9.369111,8.7062,9.009218,8.239687
01/04/2002,11.108435,11.391699,10.671843,11.001515,9.667897,9.266853,11.177404,12.047756,11.9733925,11.75462,11.792755,11.083233,10.316443,9.347391,8.861208,9.000826,8.429014
01/05/2002,11.021066,11.067116,10.687709,10.679781,9.625816,9.172451,11.092056,11.9737625,11.645985,11.825442,11.428881,11.234056,10.436392,9.767782,8.7997675,9.4551325,8.395588
01/06/2002,10.775888,10.709834,10.451889,10.433447,9.232903,8.957088,10.896329,11.629772,11.377621,11.637985,11.281109,10.894394,10.079527,9.407818,8.53138,9.108901,8.045435
01/07/2002,10.568547,10.411394,10.258889,10.117662,8.841526,8.393347,10.648157,11.413622,10.997534,11.426867,11.005449,10.636318,9.627665,9.320068,8.315611,9.1607685,7.702267
01/08/2002,9.549093,9.410418,9.326113,9.111428,8.084238,7.5663805,9.645657,10.364044,9.834647,10.36545,9.894192,9.675169,8.550286,8.460056,7.3604107,8.335471,6.888294
01/09/2002,9.090698,9.08643,8.916211,8.7903385,7.768345,7.243085,9.158883,9.826946,9.392762,9.863842,9.391665,9.344971,8.079374,8.114171,7.171452,7.965839,6.6959143
01/10/2002,8.622921,8.60647,8.398712,8.35191,7.291639,6.6966414,8.592527,9.281075,8.878767,9.259272,8.82305,8.71017,7.572663,7.5912356,6.863463,7.2645426,6.1592817
01/11/2002,8.251572,8.397997,8.105289,8.265602,7.2353363,6.678295,8.327242,8.872938,8.820033,8.846676,8.692408,8.334279,7.430601,7.3292136,6.8695903,7.0679307,6.3385606
01/12/2002,7.9782844,8.090961,7.8269362,7.955146,6.9523335,6.330526,8.030162,8.469402,8.47187,8.44549,8.410131,7.9397798,7.047105,7.0464373,6.5211177,6.7923427,6.0224056
01/01/2003,7.078457,7.2791576,7.038963,7.358992,6.460047,5.9583545,7.4543796,7.754898,7.8686595,7.8008413,7.9583645,7.18354,6.5921426,6.561148,6.463802,6.257856,6.2057495
01/02/2003,6.7115664,6.6963434,6.648612,6.8472266,6.108165,5.6069613,7.020788,7.3777676,7.413304,7.385409,7.453668,6.753671,6.180966,6.334007,6.266606,5.9646487,5.878949
01/03/2003,6.4852715,6.70408,6.3940525,6.6976905,6.1253905,5.6686997,6.77452,7.088518,7.2022676,7.086849,7.18168,6.4847827,6.2699556,6.0763717,6.156945,5.6399345,5.7178855
