Fecha,Percentil equiponderado 80.0,Percentil ponderado 80.0,"Media Truncada Equiponderada (57.5, 92.0)","Media Truncada Ponderada (52.5, 97.0)","Inflación de exclusión dinámica (0.36, 2.5)","Exclusión fija de gastos básicos IPC (14, 17)",MAI óptima CORR,"MAI (F,4)","MAI (G,4)","MAI (F,5)","MAI (G,5)","MAI (F,10)","MAI (G,10)","MAI (F,20)","MAI (G,20)","MAI (F,40)","MAI (G,40)"
01/12/2001,13.082516,15.427256,12.934756,16.224205,11.020649,9.004271,9.671562,11.2424965,11.219681,10.92248,10.781312,10.248327,9.5197315,9.007776,8.282018,8.534824,7.9600573
01/01/2002,13.79937,16.320587,13.565135,16.457355,11.403931,9.234142,10.056311,11.715865,11.522388,11.309444,11.048222,10.485125,9.611583,9.146214,8.182156,8.781433,7.77148
01/02/2002,13.982534,16.956818,13.732016,16.929663,11.627722,9.599506,10.232573,11.85143,11.781084,11.388993,11.325932,10.760891,10.045409,9.165072,8.459532,8.815336,7.985282
01/03/2002,13.884914,16.830015,13.672686,16.890694,11.663961,9.528351,10.163643,11.915958,11.757505,11.556745,11.418629,11.031675,10.129046,9.369111,8.7062,9.009218,8.239687
01/04/2002,13.873756,17.036295,13.662791,16.983341,11.712896,9.419298,10.091255,12.047756,11.9733925,11.75462,11.792755,11.083233,10.316443,9.347391,8.861208,9.000826,8.429014
01/05/2002,13.866949,16.428816,13.667715,16.744959,11.481428,9.205687,10.112734,11.9737625,11.645985,11.825442,11.428881,11.234056,10.436392,9.767782,8.7997675,9.4551325,8.395588
01/06/2002,13.578987,16.223408,13.363552,16.21487,11.203361,8.971095,9.929835,11.629772,11.377621,11.637985,11.281109,10.894394,10.079527,9.407818,8.53138,9.108901,8.045435
01/07/2002,13.344204,16.075336,13.118542,15.607166,10.875547,8.618999,9.737479,11.413622,10.997534,11.426867,11.005449,10.636318,9.627665,9.320068,8.315611,9.1607685,7.702267
01/08/2002,12.044334,14.722216,11.998272,14.296091,10.044252,7.811177,8.923944,10.364044,9.834647,10.36545,9.894192,9.675169,8.550286,8.460056,7.3604107,8.335471,6.888294
01/09/2002,11.573887,14.174628,11.518574,14.024377,9.818912,7.50798,8.527419,9.826946,9.392762,9.863842,9.391665,9.344971,8.079374,8.114171,7.171452,7.965839,6.6959143
01/10/2002,11.099136,13.604212,10.94234,13.375711,9.251844,6.9546103,8.073002,9.281075,8.878767,9.259272,8.82305,8.71017,7.572663,7.5912356,6.863463,7.2645426,6.1592817
01/11/2002,10.58997,13.391865,10.553098,13.434744,9.467876,6.9332123,7.782579,8.872938,8.820033,8.846676,8.692408,8.334279,7.430601,7.3292136,6.8695903,7.0679307,6.3385606
01/12/2002,10.15259,13.066196,10.203409,13.045716,9.2360735,6.5704346,7.490482,8.469402,8.47187,8.44549,8.410131,7.9397798,7.047105,7.0464373,6.5211177,6.7923427,6.0224056
01/01/2003,9.237968,12.182606,9.180319,12.402832,8.236731,6.020272,6.8961954,7.754898,7.8686595,7.8008413,7.9583645,7.18354,6.5921426,6.561148,6.463802,6.257856,6.2057495
01/02/2003,8.806574,11.394024,8.701539,11.777651,7.8484297,5.5606008,6.502304,7.3777676,7.413304,7.385409,7.453668,6.753671,6.180966,6.334007,6.266606,5.9646487,5.878949
01/03/2003,8.484268,11.000311,8.373892,11.565054,7.745731,5.512476,6.208291,7.088518,7.2022676,7.086849,7.18168,6.4847827,6.2699556,6.0763717,6.156945,5.6399345,5.7178855
01/04/2003,8.391989,11.168205,8.281744,11.540389,7.825911,5.700302,6.142273,6.95374,7.2621465,6.9378138,7.1855664,6.4276457,6.246078,6.075585,6.1168075,5.736184,5.7476163
01/05/2003,8.38319,11.407447,8.244265,11.585331,7.8591347,6.0302973,6.086075,6.9978,7.6193094,6.9557548,7.457876,6.3817024,6.3720226,5.721462,6.0706496,5.4825544,5.612397
01/06/2003,8.30077,11.313688,8.187938,11.55814,7.732725,5.915022,6.021783,7.0219994,7.4801207,6.880164,7.3931932,6.3401937,6.4527273,5.5184007,5.942476,5.151534,5.4825783
01/07/2003,8.216513,10.761976,8.121586,11.466921,7.7476144,5.9638023,5.962389,6.910324,7.2507977,6.6741824,7.0346713,6.2664747,6.2059164,5.635524,5.894637,5.1411986,5.4140925
01/08/2003,8.081114,10.498608,7.977283,11.350405,7.708633,5.940175,5.8153486,6.8084598,7.058203,6.5609217,6.8608403,6.2102675,6.1309576,5.664575,5.8097363,5.1677585,5.210483
01/09/2003,8.011365,10.347832,7.966614,11.315703,7.815826,6.0133696,5.8378973,6.777203,6.790781,6.5528274,6.805861,6.257081,6.3988566,5.9319496,6.0994506,5.398822,5.6978583
01/10/2003,7.8312993,10.400856,7.850766,11.338353,7.817149,6.142473,5.7420053,6.637907,6.6492558,6.39385,6.73908,6.247866,6.534362,5.8412075,6.2498093,5.370748,5.7669163
01/11/2003,7.663405,10.41416,7.6465964,11.148537,7.586825,6.1192393,5.5267906,6.4657927,6.3771486,6.2648296,6.7606926,6.1742783,6.7186594,5.7515025,6.04614,5.2680016,5.4571033
01/12/2003,7.596183,10.715998,7.6053143,11.246681,7.690966,6.236291,5.485933,6.421256,6.543803,6.3037395,6.8805456,6.228757,7.0061207,5.8845162,6.2646747,5.40179,5.734813
01/01/2004,7.522309,11.253476,7.6267123,11.861634,8.172536,6.7641854,5.466483,6.4532876,7.1780443,6.303656,7.29723,6.4130545,7.4775577,6.0603976,6.581104,5.5493236,6.062627
01/02/2004,7.371688,11.371983,7.5174212,12.2012615,8.360779,6.845176,5.4201326,6.3579917,7.2553873,6.234646,7.3829293,6.3840985,7.814586,5.968356,6.865895,5.492747,6.4198136
01/03/2004,7.359767,11.307049,7.5913906,12.388336,8.449388,7.0691347,5.5067134,6.3616395,7.329762,6.1983824,7.4615836,6.3425183,8.003354,6.019962,7.222986,5.5470705,6.791389
01/04/2004,7.1902037,10.957754,7.4974537,12.3665695,8.34446,6.9268703,5.417144,6.2370777,7.0560813,6.088841,7.239008,6.249702,7.9096794,5.866635,7.1472645,5.393529,6.880176
01/05/2004,7.4089885,11.4494915,7.6763034,12.68264,8.665049,7.099879,5.598198,6.399715,7.1894884,6.184602,7.4887037,6.3477516,8.189571,5.937469,7.4861407,5.5808663,7.369101
01/06/2004,7.498276,11.761152,7.727051,12.862837,8.840179,7.216823,5.6387086,6.4283013,7.65512,6.1551332,7.7228785,6.280768,8.162487,5.9651613,7.6206923,5.68943,7.61348
01/07/2004,7.4772716,11.867655,7.679689,12.82649,8.76075,7.3435426,5.567236,6.4051986,7.6904655,6.1091304,7.7723265,6.1261177,8.447372,5.614841,7.6990485,5.305493,7.676995
01/08/2004,7.772255,12.289047,7.993555,13.1297,8.903027,7.631147,5.849471,6.6750884,8.010054,6.401956,8.049166,6.3764334,8.707439,5.663514,8.029043,5.446422,8.1234455
01/09/2004,8.070314,12.9974,8.323336,13.735115,9.204292,8.002353,6.102781,6.964636,8.537256,6.704986,8.559406,6.814289,9.123146,6.1529875,8.496534,5.8970213,8.370007
01/10/2004,8.447075,13.241982,8.779073,14.309942,9.619188,8.228767,6.5036592,7.303798,8.79792,7.1523666,8.836794,7.4566007,9.639132,6.816244,8.976948,6.5504193,8.91403
