Fecha,Percentil equiponderado 72.0,Percentil ponderado 70.0,"Media Truncada Equiponderada (57.5, 84.0)","Media Truncada Ponderada (15.0, 97.0)","Inflación de exclusión dinámica (0.32, 1.73)","Exclusión fija de gastos básicos IPC (14, 17)",MAI óptima MSE,"MAI (F,4)","MAI (G,4)","MAI (F,5)","MAI (G,5)","MAI (F,10)","MAI (G,10)","MAI (F,20)","MAI (G,20)","MAI (F,40)","MAI (G,40)"
01/12/2001,10.629892,11.188149,10.577345,9.7057705,10.414004,9.104788,10.018155,11.2424965,11.219681,10.92248,10.781312,10.248327,9.5197315,9.007776,8.282018,8.534824,7.9600573
01/01/2002,11.200201,11.570633,11.069239,9.818352,11.501741,9.331429,10.382063,11.715865,11.522388,11.309444,11.048222,10.485125,9.611583,9.146214,8.182156,8.781433,7.77148
01/02/2002,11.350548,11.737204,11.16612,10.103154,11.7164135,9.700298,10.440926,11.85143,11.781084,11.388993,11.325932,10.760891,10.045409,9.165072,8.459532,8.815336,7.985282
01/03/2002,11.340404,11.550606,11.149847,10.0612755,11.713493,9.629202,10.377324,11.915958,11.757505,11.556745,11.418629,11.031675,10.129046,9.369111,8.7062,9.009218,8.239687
01/04/2002,11.441636,11.762214,11.236895,10.134542,11.829126,9.518539,10.410076,12.047756,11.9733925,11.75462,11.792755,11.083233,10.316443,9.347391,8.861208,9.000826,8.429014
01/05/2002,11.350859,11.433041,11.199427,9.916949,11.484587,9.302151,10.400005,11.9737625,11.645985,11.825442,11.428881,11.234056,10.436392,9.767782,8.7997675,9.4551325,8.395588
01/06/2002,11.071217,11.046433,10.969305,9.645081,11.202013,9.064221,10.164807,11.629772,11.377621,11.637985,11.281109,10.894394,10.079527,9.407818,8.53138,9.108901,8.045435
01/07/2002,10.862803,10.709977,10.770237,9.2623,10.814392,8.706915,10.003448,11.413622,10.997534,11.426867,11.005449,10.636318,9.627665,9.320068,8.315611,9.1607685,7.702267
01/08/2002,9.825527,9.558916,9.754777,8.356083,9.960341,7.888961,9.094104,10.364044,9.834647,10.36545,9.894192,9.675169,8.550286,8.460056,7.3604107,8.335471,6.888294
01/09/2002,9.355283,9.20682,9.334982,8.020067,9.684145,7.5819135,8.697732,9.826946,9.392762,9.863842,9.391665,9.344971,8.079374,8.114171,7.171452,7.965839,6.6959143
01/10/2002,8.890593,8.761824,8.849823,7.632637,9.096729,7.021785,8.307697,9.281075,8.878767,9.259272,8.82305,8.71017,7.572663,7.5912356,6.863463,7.2645426,6.1592817
