Fecha,OPT_MSE,LIM_INF,LIM_SUP
01/12/2001,10.431173,9.573347,11.57607
01/01/2002,10.903987,10.04616,12.048883
01/02/2002,10.993866,10.13604,12.138762
01/03/2002,10.965839,10.108013,12.110736
01/04/2002,11.039706,10.181879,12.184603
01/05/2002,11.002236,10.144409,12.147133
01/06/2002,10.7696295,9.911802,11.914526
01/07/2002,10.575877,9.71805,11.720774
01/08/2002,9.591116,8.73329,10.736012
01/09/2002,9.180551,8.322723,10.325447
01/10/2002,8.717303,7.8594766,9.8622
01/11/2002,8.331235,7.473408,9.476131
01/12/2002,8.045805,7.1879783,9.1907015
01/01/2003,7.302459,6.444632,8.447355
01/02/2003,6.944536,6.0867095,8.089433
01/03/2003,6.685343,5.827516,7.8302393
01/04/2003,6.5742064,5.7163796,7.719103
01/05/2003,6.5864763,5.7286496,7.731373
01/06/2003,6.560796,5.702969,7.7056923
01/07/2003,6.4564104,5.5985837,7.601307
01/08/2003,6.342512,5.4846854,7.4874086
01/09/2003,6.2948523,5.4370255,7.439749
01/10/2003,6.1651936,5.307367,7.31009
01/11/2003,6.008393,5.150566,7.1532893
01/12/2003,5.9344616,5.076635,7.079358
01/01/2004,5.958513,5.100686,7.1034093
01/02/2004,5.840003,4.9821763,6.9848995
01/03/2004,5.8584666,5.00064,7.003363
01/04/2004,5.748042,4.8902154,6.8929386
01/05/2004,5.886785,5.0289583,7.0316815
01/06/2004,5.953223,5.0953965,7.0981197
01/07/2004,5.9466114,5.0887847,7.091508
01/08/2004,6.20547,5.3476434,7.3503666
01/09/2004,6.444471,5.586644,7.5893674
01/10/2004,6.7443933,5.8865666,7.88929
01/11/2004,7.1776996,6.319873,8.322596
01/12/2004,7.3390617,6.481235,8.483958
01/01/2005,7.611285,6.7534585,8.756182
01/02/2005,7.7440186,6.886192,8.888915
01/03/2005,7.773087,6.9152603,8.917984
01/04/2005,7.769418,6.911591,8.914314
01/05/2005,7.7902374,6.9324107,8.935134
01/06/2005,7.722729,6.8649025,8.867626
01/07/2005,7.8160768,6.95825,8.960974
01/08/2005,7.5515323,6.6937056,8.696428
01/09/2005,7.4890833,6.6312566,8.63398
01/10/2005,7.633134,6.775307,8.77803
01/11/2005,7.538884,6.6810575,8.683781
01/12/2005,7.555393,6.6975665,8.70029
01/01/2006,7.331669,6.473842,8.476565
01/02/2006,7.0564575,6.198631,8.201354
01/03/2006,7.061919,6.2040925,8.206816
01/04/2006,7.1588807,6.301054,8.303778
01/05/2006,6.938699,6.080872,8.083595
01/06/2006,6.828489,5.970662,7.9733853
01/07/2006,6.7987185,5.9408917,7.943615
01/08/2006,6.836379,5.9785523,7.9812756
01/09/2006,6.6582627,5.800436,7.803159
01/10/2006,6.2564545,5.3986278,7.401351
01/11/2006,5.961484,5.1036572,7.1063805
01/12/2006,5.94864,5.090813,7.0935364
01/01/2007,5.7411485,4.883322,6.886045
01/02/2007,5.815873,4.9580464,6.9607697
01/03/2007,5.90877,5.0509434,7.0536666
01/04/2007,5.8527684,4.9949417,6.997665
01/05/2007,5.9006023,5.0427756,7.045499
01/06/2007,6.0078754,5.1500487,7.152772
01/07/2007,6.0638876,5.206061,7.208784
01/08/2007,6.2955203,5.4376936,7.440417
01/09/2007,6.4820075,5.624181,7.626904
01/10/2007,6.6021976,5.744371,7.747094
01/11/2007,6.9975595,6.139733,8.142456
