Fecha,Percentil equiponderado 72.4,Percentil ponderado 70.0,"Media Truncada Equiponderada (58.76, 83.15)","Media Truncada Ponderada (21.0, 95.89)","Inflación de exclusión dinámica (0.32, 1.68)","Exclusión fija de gastos básicos IPC (14, 14)",MAI óptima MSE 2018,"MAI (FP,4,[0.32, 0.7, 0.79])","MAI (F,4,[0.31, 0.7, 0.82])","MAI (G,5,[0.05, 0.58, 0.75, 0.78])"
01/01/2001,101.582016,101.58151,101.56434,101.53457,101.53848,101.43886,101.351715,101.35282,101.33987,101.33518
01/02/2001,102.64449,102.727844,102.64639,102.39087,102.68395,102.287796,102.387054,102.400154,102.337776,102.295975
01/03/2001,103.38946,103.4607,103.379295,103.00981,103.38598,102.90153,103.14971,103.16608,103.09695,102.90818
01/04/2001,103.90674,103.870445,103.93195,103.42227,103.86951,103.302864,103.725586,103.7441,103.675835,103.311
01/05/2001,104.3951,104.47682,104.39153,104.01977,104.56271,103.64527,104.16095,104.1836,104.08977,103.81968
01/06/2001,105.127235,105.35227,105.117516,104.75465,105.29081,104.29859,104.91976,104.9397,104.84131,104.69897
01/07/2001,105.7839,106.12729,105.78449,105.60103,106.10982,105.01187,105.55545,105.56436,105.494606,105.46396
01/08/2001,107.20519,107.81755,107.20209,106.94585,107.367584,106.22306,106.844475,106.85845,106.729576,107.12075
01/09/2001,108.064575,108.66158,108.00928,107.63255,108.051315,106.77977,107.59227,107.61297,107.45889,107.77602
01/10/2001,109.01254,109.641396,108.94686,108.411476,109.02926,107.65172,108.42405,108.447754,108.27833,108.568474
01/11/2001,109.84605,110.3962,109.80476,109.00522,109.685646,108.20197,109.24206,109.270836,109.08633,109.240944
01/12/2001,110.62989,111.18815,110.57735,109.705765,110.41401,109.10479,110.01816,110.062065,109.82392,109.89849
01/01/2002,112.95941,113.33514,112.80674,111.50359,113.21717,110.90455,111.87413,111.9,111.74125,111.47144
01/02/2002,114.295204,114.78522,114.10801,112.73557,114.71483,112.210014,113.077225,113.0923,112.95923,112.769455
01/03/2002,115.114235,115.41103,114.90593,113.37392,115.496086,112.81012,113.853905,113.86942,113.7294,113.53124
01/04/2002,115.79537,116.087906,115.61067,113.90365,116.156364,113.13579,114.5235,114.541176,114.38067,114.2824
01/05/2002,116.24484,116.4217,116.08279,114.33536,116.57131,113.28651,114.99371,115.00918,114.8521,114.769745
