Fecha,Percentil equiponderado 72.4,Percentil ponderado 70.0,"Media Truncada Equiponderada (58.76, 83.15)","Media Truncada Ponderada (21.0, 95.89)","Inflación de exclusión dinámica (0.32, 1.68)","Exclusión fija de gastos básicos IPC (14, 14)",MAI óptima MSE 2018,"MAI (FP,4,[0.32, 0.7, 0.79])","MAI (F,4,[0.31, 0.7, 0.82])","MAI (G,5,[0.05, 0.58, 0.75, 0.78])"
01/12/2001,10.629892,11.188149,10.577345,9.7057705,10.414004,9.104788,10.018155,10.062063,9.823918,9.898496
01/01/2002,11.200201,11.570633,11.069239,9.818352,11.501741,9.331429,10.382063,10.406399,10.263861,10.002708
01/02/2002,11.350548,11.737204,11.16612,10.103154,11.7164135,9.700298,10.440926,10.44153,10.378814,10.238409
01/03/2002,11.340404,11.550606,11.149847,10.0612755,11.713493,9.629202,10.377324,10.374868,10.313058,10.322857
01/04/2002,11.441636,11.762214,11.236895,10.134542,11.829126,9.518539,10.410076,10.407412,10.325289,10.619783
01/05/2002,11.350859,11.433041,11.199427,9.916949,11.484587,9.302151,10.400005,10.390865,10.339475,10.547197
01/06/2002,11.071217,11.046433,10.969305,9.645081,11.202013,9.064221,10.164807,10.1554985,10.101282,10.377932
01/07/2002,10.862803,10.709977,10.770237,9.2623,10.814392,8.706915,10.003448,10.003686,9.907663,10.280716
01/08/2002,9.825527,9.558916,9.754777,8.356083,9.960341,7.888961,9.094104,9.085917,9.055508,9.04895
01/09/2002,9.355283,9.20682,9.334982,8.020067,9.684145,7.5819135,8.697732,8.681643,8.679318,8.7309
01/10/2002,8.890593,8.761824,8.849823,7.632637,9.096729,7.021785,8.307697,8.295202,8.28383,8.310902
01/11/2002,8.518135,8.520889,8.456528,7.640159,8.871794,7.0049405,7.9277163,7.907152,7.9051137,8.253038
01/12/2002,8.236254,8.213258,8.171821,7.4412346,8.641696,6.6375017,7.635293,7.6067805,7.626784,8.107996
01/01/2003,7.3497415,7.398224,7.37319,6.945777,7.266724,6.0791373,7.105053,7.0961595,7.019949,7.8580976
01/02/2003,6.971085,6.822264,7.002473,6.5654516,6.7958117,5.6133747,6.7935,6.800866,6.666112,7.4991703
01/03/2003,6.732142,6.809938,6.7461133,6.502962,6.5648675,5.5645227,6.5237226,6.5430403,6.365812,7.1913004
01/04/2003,6.6622853,6.875503,6.6274166,6.563902,6.490493,5.7541847,6.4307303,6.4370275,6.297803,7.2800756
01/05/2003,6.6985965,7.1231484,6.6425323,6.67603,6.6455483,6.087601,6.4221845,6.4291954,6.2859774,7.286954
01/06/2003,6.7133784,7.021284,6.6265225,6.627369,6.6259384,5.9373736,6.368532,6.378782,6.2479496,6.9191813
01/07/2003,6.644666,6.8891525,6.533706,6.543064,6.5261483,5.987084,6.230917,6.2431455,6.121373,6.580436
01/08/2003,6.534922,6.635022,6.4214945,6.428647,6.377864,5.893004,6.115302,6.14053,5.96956,6.4448237
